,ip,num_pkts,mean,median,distinct_values,delta
339,61.234.169.107,142,110.0,110.0,[110],0
340,61.235.105.65,3,46.0,46.0,[46],0
341,61.33.10.59,251,110.0,110.0,[110],0
342,61.33.173.8,71,108.69014084507042,109.0,[109 108],1
343,61.34.74.220,188,109.0,109.0,[109],0
344,64.20.63.236,100,112.39,112.0,[112 113],1
345,65.165.147.21,64,113.0,113.0,[113],0
346,65.165.147.44,109,113.0,113.0,[113],0
347,66.46.124.134,168,117.0,117.0,[117],0
348,69.15.0.233,6,106.33333333333333,107.0,[105 107],2
349,69.167.195.140,6,114.0,114.0,[114],0
350,69.195.197.77,8,116.0,116.0,[116],0
351,69.241.74.194,8,115.0,115.0,[115],0
352,69.27.15.36,16,114.0,114.0,[114],0
353,71.170.236.222,2,111.0,111.0,[111],0
354,71.200.188.138,3,109.0,109.0,[109],0
355,72.93.100.166,1,113.0,113.0,[113],0
356,75.126.115.2,368,112.95108695652173,113.0,[113 111],2
357,78.153.152.17,8,114.0,114.0,[114],0
358,78.38.114.149,42,107.23809523809524,107.0,[108 107],1
359,79.142.51.78,4,113.0,113.0,[113],0
360,82.201.140.139,5,107.6,108.0,[108 107],1
361,82.243.228.4,6,105.0,105.0,[105],0
362,85.159.41.190,8,110.0,110.0,[110],0
363,85.9.18.110,16,109.125,109.0,[109 110],1
364,88.198.215.250,100,29.0,29.0,[29],0
365,89.186.26.183,2,112.0,112.0,[112],0
366,89.33.124.77,122,108.0,108.0,[108],0
367,89.97.183.133,7,105.71428571428571,106.0,[105 106],1
368,91.228.179.148,139,110.0,110.0,[110],0
369,91.83.48.170,376,110.0,110.0,[110],0
370,92.241.8.155,8,115.0,115.0,[115],0
371,93.190.24.110,13,114.84615384615384,115.0,[115 114],1
372,93.51.193.229,4,109.0,109.0,[109],0
373,94.45.162.23,7,111.14285714285714,111.0,[111 112],1
374,95.131.68.158,18,112.0,112.0,[112],0
375,95.181.37.6,16,111.0,111.0,[111],0
376,95.31.3.147,73,107.0,107.0,[107],0
377,96.56.50.198,1,112.0,112.0,[112],0
378,96.56.8.18,2,111.0,111.0,[111],0
379,96.57.172.130,4,110.0,110.0,[110],0
380,96.57.249.202,1,111.0,111.0,[111],0
381,96.57.251.188,1,111.0,111.0,[111],0
382,96.57.88.139,1,112.0,112.0,[112],0
383,98.110.196.84,5,112.0,112.0,[112],0
384,99.64.40.187,2,111.0,111.0,[111],0
